id,product_name,product_price,quantity,product_photo
640,Mushroom Button,73.00,200 g,"https://cdn.zeptonow.com/production/tr:w-640,ar-3000-3000,pr-true,f-auto,q-80/cms/product_variant/7f62bac8-cfd5-4871-b806-608b16de685c.jpeg"
641,Fresh Onion,44.00,1 Pack / 900 -1000 gm,"https://cdn.zeptonow.com/production/tr:w-640,ar-3000-3000,pr-true,f-auto,q-80/cms/product_variant/74325fc4-5b13-4bbb-98a8-cd25df7167e6.jpeg"
642,Tomato Local,32.00,500 g,"https://cdn.zeptonow.com/production/tr:w-640,ar-3000-3000,pr-true,f-auto,q-80/cms/product_variant/270711b9-d545-44a6-a984-98e0fae2cd55.jpeg"
643,Fresh Potato,48.00,1 Pack / 900 - 1000 gm,"https://cdn.zeptonow.com/production/tr:w-640,ar-3000-3000,pr-true,f-auto,q-80/cms/product_variant/d544e910-2ee7-44ab-b3a4-7a0b48e37de4.jpeg"
644,Beans Haricot,24.00,250 g,"https://cdn.zeptonow.com/production/tr:w-640,ar-3000-3000,pr-true,f-auto,q-80/cms/product_variant/153b1b68-bcff-48b8-9a85-78005c751cfd.jpeg"
645,Lady Finger,53.00,500 g,"https://cdn.zeptonow.com/production/tr:w-640,ar-3000-3000,pr-true,f-auto,q-80/cms/product_variant/0106346e-a7ef-497b-a9ff-18da5cb8d602.jpeg"
646,Capsicum Green,32.00,2 pcs,"https://cdn.zeptonow.com/production/tr:w-640,ar-3000-3000,pr-true,f-auto,q-80/cms/product_variant/306748be-1d90-49d8-9971-0ce3eae190a8.jpg"
647,Cauliflower,43.00,300 g,"https://cdn.zeptonow.com/production/tr:w-640,ar-3000-3000,pr-true,f-auto,q-80/cms/product_variant/41dac350-b4a0-434a-9653-2ea45fe9887e.jpeg"
648,Carrot Local,53.00,500 g,"https://cdn.zeptonow.com/production/tr:w-640,ar-500-336,pr-true,f-auto,q-80/inventory/product/7ae21cf6-2ac9-48c8-8e6f-cf27edc2aaaa-7de8a131-bfb2-4121-8615-dad1dc0306ae.jpeg"
649,Beetroot,31.00,500 g,"https://cdn.zeptonow.com/production/tr:w-640,ar-1000-782,pr-true,f-auto,q-80/inventory/product/e150db5d-0552-4224-a892-a344d0b88cd7-4534c407-b3fd-4445-9659-f8f7f4bb2c43.jpeg"
650,Tomato Hybrid,23.00,500 g,"https://cdn.zeptonow.com/production/tr:w-640,ar-3000-3000,pr-true,f-auto,q-80/cms/product_variant/7bbe0190-8366-4712-afa4-feb0566bf2e0.jpeg"
